District,Area,Rooms,Building,Owner,Full_price
Praga-Północ,36.9,1.0,kamienica,biuro nieruchomości,3500.0
Wola,80.0,3.0,apartamentowiec,biuro nieruchomości,6500.0
Mokotów,92.0,3.0,apartamentowiec,biuro nieruchomości,8500.0
Ursynów,53.0,2.0,blok,prywatny,3650.0
Mokotów,91.0,3.0,kamienica,biuro nieruchomości,9500.0
Mokotów,46.0,2.0,blok,biuro nieruchomości,3500.0
Śródmieście,144.0,4.0,apartamentowiec,biuro nieruchomości,8900.0
Bemowo,54.0,4.0,blok,prywatny,4300.0
Mokotów,65.0,2.0,apartamentowiec,biuro nieruchomości,6250.0
Ursus,41.0,2.0,apartamentowiec,prywatny,3500.0
Śródmieście,37.0,2.0,kamienica,prywatny,3700.0
Wola,45.0,2.0,blok,prywatny,5000.0
Mokotów,41.49,2.0,loft,biuro nieruchomości,5600.0
Śródmieście,64.0,2.0,blok,biuro nieruchomości,17000.0
Bielany,50.0,2.0,apartamentowiec,biuro nieruchomości,4990.0
Mokotów,34.53,2.0,kamienica,biuro nieruchomości,3400.0
Śródmieście,40.0,2.0,blok,prywatny,3500.0
Żoliborz,93.0,4.0,apartamentowiec,biuro nieruchomości,10770.0
Mokotów,40.0,2.0,blok,prywatny,3800.0
Wilanów,61.0,3.0,apartamentowiec,biuro nieruchomości,6000.0
Ochota,61.0,3.0,apartamentowiec,biuro nieruchomości,6650.0
Wola,38.0,2.0,apartamentowiec,prywatny,5000.0
Praga-Południe,38.0,1.0,kamienica,prywatny,3300.0
Mokotów,105.0,3.0,apartamentowiec,biuro nieruchomości,10500.0
Wilanów,268.0,4.0,szeregowiec,biuro nieruchomości,17500.0
Śródmieście,108.0,3.0,kamienica,biuro nieruchomości,12100.0
Ursynów,47.0,2.0,blok,prywatny,4230.0
Wola,45.0,2.0,apartamentowiec,biuro nieruchomości,5300.0
Targówek,33.0,2.0,blok,biuro nieruchomości,2650.0
Wola,27.0,1.0,apartamentowiec,biuro nieruchomości,3100.0
Białołęka,66.0,3.0,blok,prywatny,4500.0
Żoliborz,42.72,2.0,blok,prywatny,4185.0
Praga-Północ,33.0,2.0,kamienica,prywatny,3500.0
Ursynów,51.5,1.0,blok,prywatny,3700.0
Żoliborz,26.0,1.0,blok,prywatny,2500.0
Śródmieście,40.0,2.0,kamienica,biuro nieruchomości,4500.0
Praga-Południe,60.0,4.0,blok,biuro nieruchomości,4000.0
Wola,48.0,2.0,apartamentowiec,prywatny,5000.0
Wilanów,49.0,2.0,apartamentowiec,biuro nieruchomości,3700.0
Włochy,32.0,2.0,kamienica,biuro nieruchomości,2450.0
Mokotów,45.0,2.0,blok,biuro nieruchomości,4300.0
Białołęka,38.0,2.0,apartamentowiec,biuro nieruchomości,3000.0
Praga-Południe,40.0,2.0,apartamentowiec,prywatny,3801.0
Włochy,22.0,1.0,blok,prywatny,2950.0
Mokotów,77.6,2.0,apartamentowiec,biuro nieruchomości,6000.0
Mokotów,120.0,4.0,apartamentowiec,biuro nieruchomości,8500.0
Śródmieście,54.0,2.0,kamienica,biuro nieruchomości,6500.0
Śródmieście,95.0,3.0,apartamentowiec,biuro nieruchomości,8000.0
Ursynów,75.0,3.0,apartamentowiec,prywatny,5500.0
Śródmieście,82.0,4.0,blok,biuro nieruchomości,5900.0
Śródmieście,100.0,4.0,kamienica,biuro nieruchomości,8500.0
Mokotów,36.0,2.0,blok,prywatny,3400.0
Mokotów,130.0,3.0,apartamentowiec,biuro nieruchomości,15000.0
Mokotów,55.0,2.0,apartamentowiec,prywatny,5500.0
Śródmieście,56.0,2.0,kamienica,prywatny,5800.0
Wola,65.0,3.0,apartamentowiec,biuro nieruchomości,7000.0
Wilanów,86.0,3.0,blok,prywatny,9100.0
Mokotów,91.0,3.0,apartamentowiec,biuro nieruchomości,8400.0
Żoliborz,63.0,3.0,apartamentowiec,biuro nieruchomości,9700.0
Wilanów,55.0,2.0,apartamentowiec,prywatny,5168.0
Mokotów,54.0,2.0,apartamentowiec,prywatny,5223.0
Wola,42.62,2.0,blok,prywatny,3500.0
Bemowo,33.0,2.0,apartamentowiec,biuro nieruchomości,3000.0
Bielany,80.0,3.0,apartamentowiec,biuro nieruchomości,4800.0
Ochota,48.5,2.0,kamienica,biuro nieruchomości,3380.0
Wola,54.0,2.0,kamienica,biuro nieruchomości,4000.0
Śródmieście,61.0,2.0,kamienica,biuro nieruchomości,5580.0
Praga-Północ,44.0,2.0,apartamentowiec,biuro nieruchomości,4800.0
Mokotów,48.5,2.0,apartamentowiec,biuro nieruchomości,4500.0
Żoliborz,25.0,1.0,apartamentowiec,biuro nieruchomości,3000.0
Praga-Południe,60.0,3.0,blok,prywatny,5000.0
Mokotów,95.0,3.0,apartamentowiec,biuro nieruchomości,9000.0
Wilanów,97.0,4.0,blok,biuro nieruchomości,6500.0
Ursynów,86.0,4.0,apartamentowiec,biuro nieruchomości,6700.0
Żoliborz,63.0,3.0,blok,prywatny,9700.0
Ursynów,32.0,2.0,apartamentowiec,biuro nieruchomości,3200.0
Śródmieście,59.0,2.0,kamienica,biuro nieruchomości,4200.0
Bielany,33.0,1.0,blok,prywatny,2700.0
Mokotów,21.0,1.0,blok,biuro nieruchomości,1700.0
Mokotów,102.0,4.0,apartamentowiec,biuro nieruchomości,12000.0
Białołęka,38.55,2.0,blok,prywatny,2990.0
Bemowo,48.0,2.0,blok,prywatny,4000.0
Wawer,56.0,3.0,blok,prywatny,4730.0
Wola,47.0,2.0,blok,prywatny,3900.0
Śródmieście,105.0,3.0,apartamentowiec,biuro nieruchomości,10000.0
Ursus,70.0,3.0,blok,prywatny,4000.0
Targówek,80.0,4.0,blok,prywatny,3640.0
Ursynów,108.0,3.0,apartamentowiec,biuro nieruchomości,7750.0
Wilanów,106.0,4.0,apartamentowiec,biuro nieruchomości,11200.0
Śródmieście,26.0,1.0,blok,prywatny,2900.0
Wola,38.0,1.0,blok,prywatny,3600.0
Śródmieście,68.0,3.0,kamienica,biuro nieruchomości,7400.0
Wawer,95.0,3.0,dom wolnostojący,biuro nieruchomości,3600.0
Żoliborz,59.0,2.0,apartamentowiec,prywatny,5100.0
Bielany,42.0,2.0,blok,biuro nieruchomości,3400.0
Włochy,63.0,3.0,apartamentowiec,biuro nieruchomości,6000.0
Wilanów,43.5,2.0,apartamentowiec,biuro nieruchomości,4800.0
Praga-Południe,57.0,2.0,blok,prywatny,3200.0
Białołęka,46.6,2.0,blok,prywatny,2750.0
Mokotów,28.15,1.0,blok,prywatny,2750.0
Białołęka,52.0,2.0,blok,biuro nieruchomości,3270.0
Ursus,37.0,2.0,blok,biuro nieruchomości,3201.0
Śródmieście,41.0,2.0,blok,biuro nieruchomości,3417.0
Wilanów,73.0,4.0,blok,prywatny,9549.0
Bemowo,54.0,2.0,apartamentowiec,prywatny,4150.0
Wilanów,43.0,2.0,blok,biuro nieruchomości,3600.0
Wola,30.0,2.0,apartamentowiec,prywatny,3300.0
Praga-Południe,54.5,3.0,blok,prywatny,4100.0
Śródmieście,54.0,2.0,apartamentowiec,biuro nieruchomości,12000.0
Bemowo,42.0,2.0,blok,prywatny,4150.0
Wola,43.0,2.0,apartamentowiec,biuro nieruchomości,5400.0
Śródmieście,27.0,1.0,blok,prywatny,4000.0
Ursus,48.0,3.0,apartamentowiec,biuro nieruchomości,4570.0
Wilanów,50.0,2.0,blok,biuro nieruchomości,4000.0
Bemowo,45.5,2.0,apartamentowiec,prywatny,4700.0
Ochota,127.0,4.0,apartamentowiec,biuro nieruchomości,10200.0
Praga-Południe,35.0,1.0,blok,biuro nieruchomości,2500.0
Wilanów,77.0,3.0,apartamentowiec,biuro nieruchomości,6700.0
Mokotów,44.0,2.0,apartamentowiec,prywatny,4200.0
Mokotów,135.0,4.0,apartamentowiec,biuro nieruchomości,7000.0
Targówek,40.0,2.0,blok,prywatny,3355.0
Bemowo,37.0,2.0,blok,prywatny,4100.0
Wilanów,153.0,4.0,apartamentowiec,biuro nieruchomości,22000.0
Bemowo,54.0,2.0,blok,prywatny,4340.0
Praga-Południe,34.5,2.0,blok,biuro nieruchomości,3000.0
Śródmieście,328.0,6.0,apartamentowiec,biuro nieruchomości,40000.0
Praga-Południe,33.0,2.0,blok,biuro nieruchomości,3260.0
Wola,38.0,2.0,blok,prywatny,3400.0
Żoliborz,45.0,2.0,kamienica,prywatny,4850.0
Włochy,62.0,3.0,blok,prywatny,5000.0
Ursus,84.0,4.0,blok,biuro nieruchomości,4590.0
Śródmieście,47.0,2.0,apartamentowiec,biuro nieruchomości,4500.0
Mokotów,84.0,3.0,apartamentowiec,biuro nieruchomości,12000.0
Śródmieście,80.0,3.0,apartamentowiec,biuro nieruchomości,7100.0
Mokotów,54.0,2.0,apartamentowiec,prywatny,5223.0
Bemowo,52.0,2.0,apartamentowiec,prywatny,3750.0
Wola,50.0,2.0,apartamentowiec,biuro nieruchomości,4500.0
Mokotów,49.0,2.0,blok,prywatny,3850.0
Śródmieście,172.0,3.0,apartamentowiec,prywatny,45000.0
Śródmieście,18.0,1.0,blok,prywatny,2500.0
Wilanów,97.0,4.0,apartamentowiec,prywatny,9900.0
Wilanów,91.0,4.0,apartamentowiec,prywatny,9900.0
Mokotów,30.3,1.0,kamienica,biuro nieruchomości,2200.0
Wawer,50.0,2.0,blok,biuro nieruchomości,3200.0
Targówek,58.4,2.0,blok,biuro nieruchomości,3000.0
Wilanów,66.0,4.0,apartamentowiec,prywatny,6500.0
Mokotów,102.0,4.0,apartamentowiec,biuro nieruchomości,7700.0
Praga-Południe,40.0,1.0,apartamentowiec,prywatny,2700.0
Wilanów,90.0,3.0,apartamentowiec,biuro nieruchomości,6000.0
Wola,45.0,2.0,kamienica,prywatny,3500.0
Bemowo,77.0,3.0,apartamentowiec,prywatny,5814.0
Włochy,42.5,2.0,apartamentowiec,prywatny,4000.0
Praga-Południe,30.0,1.0,blok,prywatny,3550.0
Wilanów,48.0,2.0,blok,prywatny,5650.0
Wesoła,28.0,1.0,dom wolnostojący,prywatny,2250.0
Śródmieście,73.77,2.0,kamienica,biuro nieruchomości,4300.0
Mokotów,45.0,3.0,blok,biuro nieruchomości,3800.0
Ursynów,52.0,2.0,apartamentowiec,prywatny,4700.0
Ursynów,65.7,3.0,apartamentowiec,biuro nieruchomości,3500.0
Śródmieście,108.0,3.0,kamienica,biuro nieruchomości,12000.0
Żoliborz,130.0,4.0,apartamentowiec,biuro nieruchomości,11000.0
Śródmieście,105.0,3.0,apartamentowiec,biuro nieruchomości,9790.0
Praga-Południe,46.8,2.0,kamienica,prywatny,3460.0
Praga-Południe,39.15,2.0,blok,biuro nieruchomości,3800.0
Bielany,48.0,2.0,blok,biuro nieruchomości,4200.0
Praga-Północ,38.0,2.0,blok,prywatny,4050.0
Ursynów,136.0,4.0,blok,biuro nieruchomości,7000.0
Ochota,25.0,2.0,blok,prywatny,4200.0
Bemowo,40.0,2.0,blok,prywatny,3600.0
Ursynów,60.0,3.0,blok,prywatny,4500.0
Ochota,34.0,2.0,apartamentowiec,prywatny,3919.0
Bielany,50.0,2.0,apartamentowiec,prywatny,4990.0
Bemowo,63.0,3.0,blok,prywatny,4750.0
Mokotów,55.0,2.0,blok,prywatny,4650.0
Wilanów,93.0,3.0,apartamentowiec,biuro nieruchomości,24700.0
Bielany,52.0,3.0,blok,prywatny,5500.0
Wola,40.0,2.0,kamienica,prywatny,3465.0
Wola,37.8,1.0,blok,prywatny,4000.0
Wola,100.0,4.0,apartamentowiec,prywatny,10000.0
Wola,39.0,2.0,blok,prywatny,4450.0
Ursynów,61.0,2.0,blok,prywatny,4200.0
Targówek,26.2,2.0,blok,biuro nieruchomości,2214.0
Białołęka,40.0,2.0,apartamentowiec,prywatny,3100.0
Wola,33.0,1.0,blok,biuro nieruchomości,3300.0
Śródmieście,53.0,2.0,kamienica,biuro nieruchomości,3210.0
Mokotów,41.0,2.0,blok,prywatny,4340.0
Wola,38.0,2.0,apartamentowiec,prywatny,5000.0
Targówek,61.0,3.0,blok,prywatny,3500.0
Mokotów,78.0,4.0,apartamentowiec,biuro nieruchomości,6900.0
Ursynów,60.0,2.0,blok,prywatny,3929.0
Targówek,33.0,1.0,blok,prywatny,2300.0
Ochota,61.7,3.0,apartamentowiec,biuro nieruchomości,4200.0
Białołęka,60.0,2.0,apartamentowiec,prywatny,4800.0
Ursus,34.5,2.0,apartamentowiec,prywatny,3500.0
Targówek,71.0,3.0,apartamentowiec,biuro nieruchomości,3900.0
Śródmieście,43.0,2.0,blok,prywatny,4000.0
Żoliborz,48.0,2.0,blok,prywatny,4600.0
Mokotów,54.0,2.0,apartamentowiec,biuro nieruchomości,4900.0
Praga-Południe,50.0,6.0,apartamentowiec,biuro nieruchomości,2800.0
Mokotów,40.0,1.0,apartamentowiec,prywatny,3999.0
Wilanów,83.0,3.0,apartamentowiec,prywatny,9200.0
Mokotów,45.0,2.0,blok,prywatny,4450.0
Ochota,46.0,1.0,blok,prywatny,3460.0
Mokotów,75.0,4.0,blok,prywatny,6625.0
Bemowo,65.0,3.0,blok,biuro nieruchomości,2500.0
Wola,45.0,2.0,blok,biuro nieruchomości,2300.0
Bemowo,46.0,2.0,blok,prywatny,3400.0
Bemowo,47.0,2.0,apartamentowiec,biuro nieruchomości,3750.0
Wola,52.0,2.0,apartamentowiec,biuro nieruchomości,5500.0
Białołęka,70.35,3.0,blok,biuro nieruchomości,3870.0
Białołęka,45.0,2.0,blok,prywatny,2850.0
Wesoła,110.0,3.0,dom wolnostojący,prywatny,3500.0
Śródmieście,84.0,2.0,apartamentowiec,prywatny,7900.0
Wilanów,104.0,3.0,blok,biuro nieruchomości,9900.0
Białołęka,64.0,2.0,blok,prywatny,5700.0
Bemowo,62.9,3.0,blok,biuro nieruchomości,4138.0
Targówek,56.0,3.0,blok,biuro nieruchomości,5000.0
Śródmieście,47.0,2.0,kamienica,prywatny,5000.0
Wilanów,98.59,3.0,apartamentowiec,biuro nieruchomości,8550.0
Śródmieście,68.2,2.0,apartamentowiec,biuro nieruchomości,5500.0
Praga-Południe,37.0,2.0,blok,biuro nieruchomości,3550.0
Śródmieście,33.0,1.0,kamienica,biuro nieruchomości,3400.0
Śródmieście,37.5,2.0,blok,biuro nieruchomości,2700.0
Bemowo,40.0,1.0,blok,prywatny,3500.0
Włochy,42.0,2.0,blok,prywatny,3880.0
Praga-Północ,71.5,3.0,blok,biuro nieruchomości,4600.0
Żoliborz,62.0,2.0,apartamentowiec,biuro nieruchomości,6750.0
Białołęka,36.0,3.0,blok,prywatny,3200.0
Ursynów,53.0,2.0,blok,biuro nieruchomości,3050.0
Śródmieście,60.0,2.0,blok,biuro nieruchomości,4000.0
Śródmieście,38.0,1.0,apartamentowiec,biuro nieruchomości,4600.0
Praga-Południe,56.0,3.0,blok,biuro nieruchomości,3200.0
Żoliborz,60.0,3.0,blok,prywatny,4600.0
Praga-Południe,52.0,2.0,blok,biuro nieruchomości,3600.0
Praga-Północ,27.0,1.0,blok,prywatny,2700.0
Praga-Południe,31.0,2.0,blok,biuro nieruchomości,3750.0
Mokotów,102.0,4.0,apartamentowiec,biuro nieruchomości,12000.0
Śródmieście,319.0,2.0,blok,biuro nieruchomości,30000.0
Mokotów,150.0,4.0,apartamentowiec,biuro nieruchomości,12500.0
Mokotów,80.0,3.0,apartamentowiec,biuro nieruchomości,8500.0
Śródmieście,93.0,3.0,kamienica,biuro nieruchomości,7500.0
Mokotów,85.07,3.0,kamienica,biuro nieruchomości,8500.0
Śródmieście,83.0,4.0,kamienica,biuro nieruchomości,8000.0
Śródmieście,70.0,2.0,kamienica,biuro nieruchomości,7000.0
Mokotów,69.0,3.0,apartamentowiec,biuro nieruchomości,7000.0
Bemowo,62.0,3.0,blok,prywatny,3960.0
Ochota,48.0,2.0,blok,prywatny,3665.0
Śródmieście,132.0,5.0,kamienica,biuro nieruchomości,10000.0
Mokotów,160.0,4.0,apartamentowiec,biuro nieruchomości,12900.0
Mokotów,160.0,5.0,apartamentowiec,biuro nieruchomości,19900.0
Śródmieście,94.0,3.0,kamienica,biuro nieruchomości,19900.0
Ochota,28.0,1.0,blok,prywatny,3800.0
Mokotów,37.0,2.0,blok,prywatny,4240.0
Wilanów,54.44,3.0,apartamentowiec,biuro nieruchomości,4600.0
Mokotów,160.0,4.0,apartamentowiec,biuro nieruchomości,13050.0
Śródmieście,142.0,3.0,apartamentowiec,biuro nieruchomości,31500.0
Wola,36.0,2.0,apartamentowiec,biuro nieruchomości,7500.0
Wawer,160.0,4.0,dom wolnostojący,biuro nieruchomości,13500.0
Śródmieście,156.0,4.0,kamienica,biuro nieruchomości,25000.0
Śródmieście,140.0,4.0,kamienica,biuro nieruchomości,17000.0
Ursynów,56.0,2.0,blok,biuro nieruchomości,2800.0
Ochota,56.0,3.0,blok,biuro nieruchomości,3800.0
Śródmieście,70.0,3.0,apartamentowiec,biuro nieruchomości,6000.0
Wilanów,103.59,3.0,apartamentowiec,biuro nieruchomości,22400.0
Żoliborz,140.0,5.0,kamienica,biuro nieruchomości,16000.0
Mokotów,175.0,4.0,apartamentowiec,biuro nieruchomości,24500.0
Śródmieście,120.0,3.0,kamienica,biuro nieruchomości,15000.0
Mokotów,133.0,3.0,apartamentowiec,biuro nieruchomości,11900.0
Wilanów,92.0,3.0,apartamentowiec,biuro nieruchomości,10200.0
Mokotów,225.0,5.0,apartamentowiec,biuro nieruchomości,17000.0
Mokotów,51.0,2.0,apartamentowiec,prywatny,3800.0
Śródmieście,48.0,3.0,blok,prywatny,5585.0
Praga-Północ,43.0,2.0,blok,prywatny,3980.0
Wola,50.0,2.0,blok,prywatny,4100.0
Śródmieście,29.0,1.0,kamienica,prywatny,2520.0
Śródmieście,98.0,3.0,kamienica,biuro nieruchomości,7980.0
Praga-Południe,30.0,1.0,blok,prywatny,3550.0
Wilanów,63.0,2.0,apartamentowiec,biuro nieruchomości,5700.0
Ursus,35.0,2.0,blok,prywatny,3450.0
Wilanów,55.0,2.0,apartamentowiec,prywatny,5168.0
Wilanów,74.0,3.0,blok,biuro nieruchomości,6900.0
Wilanów,112.0,3.0,apartamentowiec,prywatny,9500.0
Mokotów,61.0,3.0,apartamentowiec,prywatny,4850.0
Mokotów,31.0,1.0,blok,biuro nieruchomości,1900.0
Wilanów,110.72,3.0,apartamentowiec,biuro nieruchomości,11000.0
Włochy,39.0,2.0,apartamentowiec,prywatny,3700.0
Praga-Północ,50.0,2.0,blok,prywatny,3700.0
Mokotów,68.0,3.0,blok,biuro nieruchomości,5200.0
Praga-Południe,54.0,3.0,blok,biuro nieruchomości,3200.0
Praga-Południe,65.0,2.0,kamienica,prywatny,5000.0
Wilanów,150.0,4.0,apartamentowiec,biuro nieruchomości,20000.0
Wola,52.0,2.0,apartamentowiec,biuro nieruchomości,4611.0
Śródmieście,100.0,3.0,apartamentowiec,biuro nieruchomości,10000.0
Praga-Południe,41.0,2.0,apartamentowiec,biuro nieruchomości,3500.0
Ursynów,54.8,2.0,blok,biuro nieruchomości,3500.0
Ursus,40.0,2.0,blok,prywatny,3950.0
Praga-Południe,43.0,2.0,apartamentowiec,biuro nieruchomości,3300.0
Żoliborz,49.0,2.0,apartamentowiec,biuro nieruchomości,3000.0
Śródmieście,110.0,3.0,apartamentowiec,biuro nieruchomości,16500.0
Mokotów,40.0,2.0,blok,biuro nieruchomości,2950.0
Wola,35.0,2.0,apartamentowiec,prywatny,4300.0
Ursynów,58.61,2.0,blok,prywatny,3450.0
Śródmieście,20.0,1.0,blok,prywatny,2700.0
Wola,50.0,2.0,blok,biuro nieruchomości,3700.0
Wola,65.0,3.0,blok,biuro nieruchomości,6100.0
Ursus,50.6,2.0,apartamentowiec,biuro nieruchomości,4150.0
Wilanów,53.0,2.0,apartamentowiec,prywatny,4250.0
Bemowo,66.0,3.0,blok,prywatny,4150.0
Włochy,64.4,3.0,apartamentowiec,biuro nieruchomości,7100.0
Śródmieście,72.5,2.0,apartamentowiec,biuro nieruchomości,12000.0
Ursynów,39.0,1.0,blok,biuro nieruchomości,2900.0
Wola,130.0,4.0,apartamentowiec,biuro nieruchomości,30000.0
Białołęka,45.0,2.0,apartamentowiec,biuro nieruchomości,3870.0
Bielany,27.0,1.0,blok,biuro nieruchomości,3300.0
Ursus,66.0,3.0,blok,biuro nieruchomości,5200.0
Wola,47.0,2.0,blok,biuro nieruchomości,4130.0
Śródmieście,95.0,3.0,apartamentowiec,biuro nieruchomości,8000.0
Śródmieście,41.0,2.0,kamienica,biuro nieruchomości,3000.0
Ochota,50.0,2.0,apartamentowiec,prywatny,3997.0
Mokotów,52.0,2.0,apartamentowiec,biuro nieruchomości,4500.0
Śródmieście,33.0,2.0,kamienica,prywatny,3150.0
Bielany,45.28,2.0,blok,prywatny,4030.0
Mokotów,48.0,2.0,apartamentowiec,biuro nieruchomości,4700.0
Bemowo,46.0,2.0,blok,biuro nieruchomości,2900.0
Ursus,37.0,2.0,blok,prywatny,3280.0
Wola,50.0,2.0,apartamentowiec,prywatny,6450.0
Targówek,50.0,2.0,blok,prywatny,3500.0
Wola,108.0,4.0,apartamentowiec,biuro nieruchomości,11600.0
Śródmieście,39.0,2.0,blok,prywatny,3750.0
Praga-Północ,74.0,2.0,apartamentowiec,biuro nieruchomości,5900.0
Praga-Północ,38.0,2.0,loft,prywatny,4070.0
Ursynów,96.0,4.0,blok,prywatny,8770.0
Ursynów,56.0,2.0,apartamentowiec,prywatny,3800.0
Ursynów,55.5,2.0,blok,prywatny,4000.0
Wola,37.0,2.0,blok,prywatny,3100.0
Wola,22.0,1.0,apartamentowiec,biuro nieruchomości,2601.0
Włochy,17.29,1.0,apartamentowiec,prywatny,2200.0
Mokotów,31.0,1.0,blok,biuro nieruchomości,3000.0
Wola,56.5,3.0,blok,prywatny,3241.0
Wilanów,36.6,1.0,apartamentowiec,biuro nieruchomości,2450.0
Białołęka,36.0,2.0,blok,prywatny,3000.0
Praga-Południe,34.0,2.0,apartamentowiec,biuro nieruchomości,3800.0
Praga-Południe,29.0,1.0,blok,prywatny,2800.0
Białołęka,41.5,2.0,blok,prywatny,3250.0
Śródmieście,48.0,2.0,apartamentowiec,biuro nieruchomości,4000.0
Praga-Południe,29.0,1.0,blok,prywatny,2800.0
Wola,49.0,2.0,apartamentowiec,prywatny,4130.0
Białołęka,58.0,3.0,apartamentowiec,prywatny,4800.0
Wesoła,57.0,3.0,blok,biuro nieruchomości,2700.0
Mokotów,62.0,2.0,apartamentowiec,prywatny,5350.0
Mokotów,112.0,3.0,apartamentowiec,biuro nieruchomości,15000.0
Mokotów,39.0,2.0,apartamentowiec,prywatny,3820.0
Bemowo,40.0,1.0,blok,prywatny,3500.0
Bemowo,70.0,4.0,blok,biuro nieruchomości,3800.0
Wola,28.0,1.0,blok,prywatny,2500.0
Praga-Południe,126.0,4.0,dom wolnostojący,biuro nieruchomości,12000.0
Wola,44.0,2.0,blok,biuro nieruchomości,4100.0
Ochota,122.0,4.0,apartamentowiec,biuro nieruchomości,10501.0
Mokotów,45.0,2.0,blok,prywatny,4450.0
Mokotów,54.0,2.0,apartamentowiec,prywatny,5223.0
Praga-Południe,37.3,2.0,blok,prywatny,2900.0
Praga-Południe,41.0,2.0,blok,prywatny,4150.0
Wilanów,53.0,2.0,apartamentowiec,prywatny,4250.0
Mokotów,149.33,3.0,kamienica,biuro nieruchomości,16000.0
Mokotów,103.0,3.0,apartamentowiec,biuro nieruchomości,10500.0
Mokotów,64.51,2.0,kamienica,biuro nieruchomości,4480.0
Śródmieście,83.71,3.0,kamienica,biuro nieruchomości,7500.0
Śródmieście,186.0,4.0,kamienica,biuro nieruchomości,26000.0
Śródmieście,52.0,2.0,apartamentowiec,biuro nieruchomości,5001.0
Mokotów,37.0,2.0,blok,prywatny,4240.0
Śródmieście,49.8,2.0,kamienica,prywatny,4000.0
Praga-Północ,35.16,2.0,apartamentowiec,biuro nieruchomości,3370.0
Żoliborz,96.0,3.0,apartamentowiec,biuro nieruchomości,7800.0
Ursus,60.0,3.0,blok,prywatny,4270.0
Śródmieście,230.0,4.0,apartamentowiec,biuro nieruchomości,33000.0
Wola,30.0,2.0,apartamentowiec,prywatny,3300.0
Ursynów,52.0,2.0,blok,biuro nieruchomości,3172.0
Mokotów,31.0,1.0,blok,prywatny,2650.0
Ursynów,52.0,2.0,apartamentowiec,prywatny,4750.0
Ursynów,42.0,2.0,blok,prywatny,3320.0
Ursus,30.0,2.0,apartamentowiec,prywatny,3000.0
Bemowo,46.0,2.0,apartamentowiec,prywatny,3900.0
Bielany,73.0,3.0,apartamentowiec,prywatny,6730.0
Bemowo,57.0,2.0,apartamentowiec,biuro nieruchomości,2800.0
Targówek,23.0,1.0,dom wolnostojący,prywatny,2301.0
Białołęka,68.0,3.0,apartamentowiec,prywatny,4600.0
Wilanów,53.0,2.0,blok,biuro nieruchomości,5350.0
Wilanów,41.8,2.0,blok,biuro nieruchomości,4080.0
Mokotów,70.72,2.0,apartamentowiec,biuro nieruchomości,8300.0
Włochy,26.0,1.0,apartamentowiec,prywatny,2920.0
Ursynów,70.0,3.0,apartamentowiec,prywatny,6000.0
Praga-Południe,92.0,4.0,blok,prywatny,6040.0
Wola,60.0,2.0,apartamentowiec,biuro nieruchomości,4000.0
Śródmieście,32.0,2.0,apartamentowiec,biuro nieruchomości,4300.0
Ursynów,52.0,2.0,apartamentowiec,prywatny,4750.0
Ochota,90.0,4.0,blok,prywatny,8900.0
Praga-Północ,33.0,2.0,blok,prywatny,4200.0
Wola,71.0,3.0,blok,prywatny,5500.0
Mokotów,62.0,2.0,apartamentowiec,prywatny,5800.0
Mokotów,45.0,2.0,apartamentowiec,prywatny,3601.0
Śródmieście,72.0,3.0,kamienica,biuro nieruchomości,6600.0
Targówek,61.3,3.0,blok,prywatny,4730.0
Wola,29.3,2.0,blok,prywatny,3400.0
Ursus,33.0,2.0,apartamentowiec,prywatny,2500.0
Praga-Południe,34.0,1.0,blok,biuro nieruchomości,2300.0
Praga-Północ,35.0,2.0,blok,prywatny,3500.0
Praga-Południe,51.0,2.0,blok,biuro nieruchomości,2700.0
Białołęka,46.0,2.0,blok,prywatny,3900.0
Ursynów,60.0,2.0,blok,prywatny,4000.0
Bemowo,50.0,2.0,blok,prywatny,3760.0
Wola,38.0,1.0,blok,prywatny,3570.0
Wilanów,57.5,2.0,apartamentowiec,biuro nieruchomości,3800.0
Bemowo,31.0,2.0,apartamentowiec,prywatny,3650.0
Bemowo,45.5,2.0,apartamentowiec,prywatny,4700.0
Śródmieście,40.0,2.0,kamienica,prywatny,4680.0
Mokotów,35.0,2.0,apartamentowiec,prywatny,5000.0
Wilanów,35.5,1.0,apartamentowiec,prywatny,3550.0
Praga-Południe,51.0,2.0,blok,biuro nieruchomości,2700.0
Ursynów,38.8,1.0,apartamentowiec,prywatny,2700.0
Bemowo,36.0,1.0,apartamentowiec,prywatny,3300.0
Śródmieście,63.0,3.0,blok,prywatny,5000.0
Wola,50.0,2.0,apartamentowiec,prywatny,5100.0
Rembertów,35.11,2.0,apartamentowiec,biuro nieruchomości,2800.0
Mokotów,26.0,1.0,apartamentowiec,prywatny,3300.0
Praga-Południe,52.0,2.0,blok,prywatny,3450.0
Bemowo,88.0,3.0,apartamentowiec,prywatny,6100.0
Włochy,22.2,1.0,blok,biuro nieruchomości,2640.0
Bemowo,77.0,3.0,blok,biuro nieruchomości,5750.0
Ursus,36.5,2.0,blok,prywatny,2500.0
Śródmieście,61.0,2.0,apartamentowiec,biuro nieruchomości,15000.0
Żoliborz,34.0,1.0,apartamentowiec,prywatny,2900.0
Mokotów,114.0,5.0,blok,prywatny,11000.0
Włochy,38.0,2.0,blok,prywatny,3790.0
Ursus,33.0,1.0,blok,prywatny,2800.0
Żoliborz,47.0,2.0,apartamentowiec,biuro nieruchomości,4400.0
