District,Area,Rooms,Building,Owner,Full_price
Śródmieście,40.0,1.0,kamienica,biuro nieruchomości,3850.0
Śródmieście,43.0,2.0,apartamentowiec,biuro nieruchomości,5699.0
Ursus,47.0,2.0,blok,prywatny,3100.0
Bielany,46.0,2.0,kamienica,prywatny,5300.0
Ursus,52.0,3.0,blok,prywatny,3820.0
Wola,50.0,2.0,apartamentowiec,biuro nieruchomości,4500.0
Włochy,56.33,3.0,apartamentowiec,prywatny,5652.39
Ursus,40.0,2.0,blok,prywatny,3550.0
Ochota,45.0,2.0,blok,prywatny,4080.0
Śródmieście,37.0,2.0,blok,prywatny,3400.0
Białołęka,61.0,3.0,blok,prywatny,4100.0
Wola,48.5,3.0,blok,prywatny,4820.0
Mokotów,35.0,2.0,apartamentowiec,prywatny,3850.0
Targówek,47.0,2.0,blok,biuro nieruchomości,3500.0
Ochota,37.5,2.0,blok,prywatny,3380.0
Mokotów,40.0,2.0,apartamentowiec,prywatny,4010.0
Wola,60.0,3.0,blok,prywatny,5400.0
Ursynów,46.0,2.0,blok,prywatny,3700.0
Praga-Południe,40.0,2.0,blok,prywatny,3600.0
Wola,64.0,4.0,blok,prywatny,4500.0
Ursynów,53.0,2.0,blok,prywatny,3250.0
Mokotów,64.0,3.0,apartamentowiec,prywatny,4600.0
Bielany,44.0,2.0,blok,prywatny,3400.0
Mokotów,32.0,1.0,blok,prywatny,3200.0
Wesoła,61.2,3.0,apartamentowiec,prywatny,3900.0
Śródmieście,28.0,1.0,blok,prywatny,2850.0
Praga-Południe,35.0,2.0,apartamentowiec,prywatny,3200.0
Bemowo,60.0,3.0,blok,biuro nieruchomości,4300.0
Wola,41.0,2.0,apartamentowiec,prywatny,4501.0
Bemowo,66.0,3.0,blok,prywatny,4150.0
Ursynów,54.0,2.0,blok,prywatny,4200.0
Wola,53.0,2.0,kamienica,prywatny,4353.0
Śródmieście,35.0,2.0,apartamentowiec,biuro nieruchomości,3800.0
Mokotów,70.5,3.0,blok,prywatny,6000.0
Śródmieście,30.0,1.0,apartamentowiec,prywatny,4772.0
Wilanów,65.48,3.0,apartamentowiec,biuro nieruchomości,9100.0
Ursus,49.0,2.0,blok,biuro nieruchomości,3400.0
Włochy,18.0,1.0,blok,prywatny,2700.0
Ursynów,65.0,3.0,blok,biuro nieruchomości,4800.0
Ursynów,64.0,3.0,blok,prywatny,4600.0
Białołęka,46.8,2.0,blok,prywatny,4100.0
Praga-Południe,44.7,2.0,blok,prywatny,3492.0
Białołęka,42.0,2.0,blok,prywatny,3600.0
Wilanów,97.0,3.0,apartamentowiec,biuro nieruchomości,12500.0
Bielany,47.1,2.0,apartamentowiec,prywatny,3237.13
Praga-Północ,52.0,2.0,blok,prywatny,3900.0
Mokotów,30.2,1.0,apartamentowiec,biuro nieruchomości,2400.0
Mokotów,40.0,2.0,apartamentowiec,prywatny,3950.0
Żoliborz,27.0,1.0,blok,prywatny,4290.0
Śródmieście,30.0,1.0,kamienica,prywatny,2600.0
Śródmieście,64.0,2.0,blok,biuro nieruchomości,15000.0
Śródmieście,161.0,3.0,blok,biuro nieruchomości,45000.0
Włochy,22.4,1.0,blok,biuro nieruchomości,2640.0
Praga-Południe,185.0,4.0,apartamentowiec,biuro nieruchomości,13000.0
Śródmieście,125.2,3.0,apartamentowiec,biuro nieruchomości,29999.0
Wola,30.0,1.0,blok,biuro nieruchomości,3700.0
Śródmieście,100.0,2.0,apartamentowiec,biuro nieruchomości,24970.0
Wilanów,78.0,3.0,apartamentowiec,biuro nieruchomości,6780.0
Śródmieście,120.0,3.0,kamienica,biuro nieruchomości,14950.0
Targówek,72.0,3.0,apartamentowiec,biuro nieruchomości,5610.0
Mokotów,102.0,4.0,blok,prywatny,8719.0
Wilanów,50.0,2.0,blok,prywatny,4500.0
Włochy,53.0,3.0,apartamentowiec,biuro nieruchomości,5670.0
Wola,28.0,2.0,apartamentowiec,biuro nieruchomości,3300.0
Wilanów,35.0,2.0,apartamentowiec,prywatny,3800.0
Mokotów,103.0,3.0,apartamentowiec,biuro nieruchomości,8950.0
Ursus,41.44,2.0,blok,prywatny,3600.0
Wola,65.0,4.0,blok,biuro nieruchomości,5000.0
Włochy,32.0,1.0,apartamentowiec,biuro nieruchomości,3500.0
Bielany,49.0,2.0,apartamentowiec,biuro nieruchomości,3200.0
Śródmieście,106.0,4.0,kamienica,biuro nieruchomości,15000.0
Śródmieście,87.0,3.0,kamienica,biuro nieruchomości,10000.0
Mokotów,112.0,3.0,apartamentowiec,biuro nieruchomości,15000.0
Mokotów,250.0,4.0,kamienica,biuro nieruchomości,20000.0
Praga-Północ,70.0,2.0,apartamentowiec,biuro nieruchomości,7000.0
Wola,108.0,4.0,apartamentowiec,biuro nieruchomości,11700.0
Śródmieście,162.42,5.0,kamienica,biuro nieruchomości,16500.0
Śródmieście,328.0,6.0,apartamentowiec,biuro nieruchomości,40000.0
Śródmieście,98.0,2.0,kamienica,biuro nieruchomości,10804.0
Mokotów,45.0,2.0,blok,prywatny,4450.0
Ursus,58.0,3.0,blok,prywatny,4000.0
Praga-Południe,46.0,2.0,blok,biuro nieruchomości,2900.0
Żoliborz,262.0,5.0,apartamentowiec,biuro nieruchomości,26000.0
Śródmieście,96.0,3.0,apartamentowiec,biuro nieruchomości,8000.0
Śródmieście,139.0,4.0,apartamentowiec,biuro nieruchomości,18000.0
Bielany,66.36,2.0,apartamentowiec,prywatny,5305.12
Bemowo,77.0,3.0,apartamentowiec,prywatny,5858.0
Śródmieście,135.0,2.0,blok,biuro nieruchomości,23000.0
Śródmieście,173.0,3.0,blok,biuro nieruchomości,35000.0
Praga-Północ,25.0,1.0,blok,biuro nieruchomości,2900.0
Wola,41.0,2.0,blok,biuro nieruchomości,3670.0
Włochy,64.0,3.0,apartamentowiec,biuro nieruchomości,6000.0
Targówek,106.0,4.0,apartamentowiec,biuro nieruchomości,4900.0
Żoliborz,30.0,2.0,blok,prywatny,3350.0
Mokotów,75.0,3.0,kamienica,prywatny,7100.0
Wola,100.0,4.0,apartamentowiec,prywatny,7590.0
Wesoła,30.0,1.0,kamienica,biuro nieruchomości,1800.0
Śródmieście,40.0,1.0,kamienica,biuro nieruchomości,3500.0
Mokotów,72.0,3.0,apartamentowiec,prywatny,8000.0
Ursynów,31.0,1.0,blok,biuro nieruchomości,2100.0
Bemowo,50.0,3.0,blok,prywatny,4700.0
Mokotów,64.02,2.0,blok,biuro nieruchomości,3500.0
Ursus,54.0,2.0,blok,biuro nieruchomości,3700.0
Bemowo,48.0,2.0,blok,biuro nieruchomości,3760.0
Ursynów,38.8,1.0,apartamentowiec,prywatny,2700.0
Bielany,35.0,2.0,blok,prywatny,2940.0
Praga-Południe,53.0,2.0,blok,prywatny,3330.0
Wola,54.0,2.0,apartamentowiec,biuro nieruchomości,7062.0
Śródmieście,172.0,3.0,apartamentowiec,biuro nieruchomości,45000.0
Mokotów,274.21,5.0,apartamentowiec,biuro nieruchomości,60000.0
Śródmieście,120.0,3.0,kamienica,biuro nieruchomości,17000.0
Mokotów,110.0,4.0,kamienica,biuro nieruchomości,10000.0
Ursynów,44.0,2.0,blok,prywatny,3950.0
Ursynów,51.5,1.0,blok,prywatny,3700.0
Bielany,35.0,2.0,blok,prywatny,2940.0
Śródmieście,161.2,3.0,apartamentowiec,biuro nieruchomości,40000.0
Śródmieście,52.0,2.0,apartamentowiec,biuro nieruchomości,10000.0
Śródmieście,60.0,2.0,kamienica,biuro nieruchomości,5500.0
Wola,29.08,2.0,apartamentowiec,biuro nieruchomości,3300.0
Mokotów,135.0,4.0,apartamentowiec,biuro nieruchomości,8400.0
Mokotów,85.07,3.0,kamienica,biuro nieruchomości,9600.0
Śródmieście,168.0,3.0,kamienica,biuro nieruchomości,15000.0
Śródmieście,50.0,2.0,blok,biuro nieruchomości,6500.0
Wola,84.5,3.0,apartamentowiec,biuro nieruchomości,9800.0
Śródmieście,94.0,3.0,blok,biuro nieruchomości,8500.0
Mokotów,100.0,3.0,apartamentowiec,biuro nieruchomości,10600.0
Wola,56.3,3.0,blok,prywatny,5832.0
Mokotów,86.5,3.0,kamienica,biuro nieruchomości,8500.0
Śródmieście,70.0,2.0,apartamentowiec,biuro nieruchomości,6300.0
Wilanów,51.0,1.0,apartamentowiec,biuro nieruchomości,4850.0
Wola,49.0,2.0,apartamentowiec,prywatny,4130.0
Bemowo,27.0,1.0,blok,prywatny,2900.0
Mokotów,115.0,4.0,apartamentowiec,biuro nieruchomości,10000.0
Śródmieście,83.0,3.0,kamienica,biuro nieruchomości,8900.0
Śródmieście,120.0,3.0,apartamentowiec,biuro nieruchomości,20000.0
Wilanów,103.0,4.0,apartamentowiec,biuro nieruchomości,12700.0
Śródmieście,133.0,2.0,blok,biuro nieruchomości,23000.0
Wilanów,98.0,3.0,apartamentowiec,biuro nieruchomości,7900.0
Wilanów,88.0,3.0,apartamentowiec,biuro nieruchomości,6900.0
Praga-Południe,57.0,2.0,blok,prywatny,3700.0
Żoliborz,51.0,2.0,apartamentowiec,biuro nieruchomości,5200.0
Żoliborz,47.0,3.0,blok,prywatny,5300.0
Śródmieście,185.0,4.0,kamienica,biuro nieruchomości,22920.0
Mokotów,49.0,3.0,apartamentowiec,prywatny,3951.0
Włochy,81.0,3.0,apartamentowiec,prywatny,7500.0
Mokotów,103.0,4.0,apartamentowiec,biuro nieruchomości,12000.0
Ochota,36.6,2.0,blok,prywatny,3310.0
Wilanów,95.0,2.0,blok,prywatny,8000.0
Śródmieście,110.0,2.0,blok,biuro nieruchomości,26000.0
Śródmieście,125.0,3.0,blok,biuro nieruchomości,35000.0
Bielany,75.0,3.0,blok,prywatny,5100.0
Ursus,47.0,2.0,blok,biuro nieruchomości,3530.0
Ursynów,37.0,1.0,blok,prywatny,3300.0
Śródmieście,85.0,3.0,kamienica,biuro nieruchomości,11000.0
Praga-Południe,31.0,2.0,blok,biuro nieruchomości,3750.0
Wilanów,41.5,2.0,blok,prywatny,4600.0
Śródmieście,175.0,6.0,kamienica,biuro nieruchomości,20000.0
Praga-Północ,96.5,4.0,apartamentowiec,biuro nieruchomości,15000.0
Śródmieście,153.0,3.0,apartamentowiec,biuro nieruchomości,20000.0
Śródmieście,168.0,3.0,kamienica,biuro nieruchomości,13000.0
Śródmieście,40.0,1.0,apartamentowiec,biuro nieruchomości,4000.0
Ursynów,47.0,3.0,blok,biuro nieruchomości,3550.0
Mokotów,34.0,1.0,kamienica,biuro nieruchomości,3480.0
Mokotów,35.0,2.0,apartamentowiec,prywatny,4000.0
Praga-Południe,40.0,2.0,kamienica,biuro nieruchomości,2900.0
Bemowo,54.5,2.0,blok,prywatny,3750.0
Praga-Północ,55.0,2.0,apartamentowiec,biuro nieruchomości,5000.0
Praga-Północ,39.0,2.0,apartamentowiec,biuro nieruchomości,3500.0
Mokotów,87.5,3.0,apartamentowiec,biuro nieruchomości,7800.0
Śródmieście,125.0,4.0,apartamentowiec,biuro nieruchomości,14000.0
Wilanów,100.0,3.0,apartamentowiec,biuro nieruchomości,8500.0
Praga-Południe,36.0,2.0,blok,prywatny,3200.0
Wola,42.0,2.0,blok,prywatny,3900.0
Praga-Południe,27.0,1.0,blok,prywatny,2700.0
Żoliborz,51.09,2.0,apartamentowiec,biuro nieruchomości,4200.0
Żoliborz,38.0,1.0,blok,prywatny,2400.0
Śródmieście,173.0,3.0,blok,biuro nieruchomości,44000.0
Białołęka,30.9,1.0,blok,prywatny,2590.0
Śródmieście,100.0,4.0,kamienica,biuro nieruchomości,9000.0
Śródmieście,90.0,2.0,apartamentowiec,biuro nieruchomości,23000.0
Wilanów,63.0,2.0,apartamentowiec,biuro nieruchomości,5700.0
Bemowo,66.0,3.0,blok,prywatny,4150.0
Ochota,122.0,4.0,apartamentowiec,biuro nieruchomości,10500.0
Żoliborz,31.0,1.0,blok,biuro nieruchomości,2300.0
Wola,59.0,3.0,apartamentowiec,biuro nieruchomości,6000.0
Śródmieście,83.0,3.0,kamienica,prywatny,9700.0
Białołęka,45.0,2.0,apartamentowiec,biuro nieruchomości,2750.0
Śródmieście,49.0,2.0,kamienica,prywatny,4508.0
Bielany,75.0,3.0,blok,prywatny,4500.0
Wola,59.0,2.0,blok,prywatny,3600.0
Wola,62.0,2.0,blok,biuro nieruchomości,4500.0
Mokotów,164.0,4.0,apartamentowiec,biuro nieruchomości,14000.0
Ursynów,35.0,2.0,blok,biuro nieruchomości,3501.0
Wilanów,153.0,4.0,apartamentowiec,biuro nieruchomości,22000.0
Śródmieście,87.0,3.0,kamienica,biuro nieruchomości,10000.0
Śródmieście,125.0,3.0,kamienica,biuro nieruchomości,11040.0
Śródmieście,47.0,1.0,kamienica,biuro nieruchomości,5200.0
Wilanów,54.0,2.0,apartamentowiec,biuro nieruchomości,3100.0
Białołęka,48.2,2.0,blok,prywatny,3550.0
Praga-Południe,50.0,2.0,apartamentowiec,biuro nieruchomości,3300.0
Wola,31.2,1.0,blok,prywatny,3470.0
Śródmieście,110.0,3.0,kamienica,biuro nieruchomości,16000.0
Włochy,17.29,1.0,apartamentowiec,prywatny,2200.0
Ursynów,47.0,2.0,blok,prywatny,4200.0
Wola,44.0,2.0,apartamentowiec,prywatny,7900.0
Bemowo,43.0,2.0,blok,prywatny,3400.0
Wola,85.0,3.0,apartamentowiec,biuro nieruchomości,7100.0
Śródmieście,150.0,3.0,blok,biuro nieruchomości,35000.0
Mokotów,48.78,2.0,kamienica,biuro nieruchomości,3500.0
Śródmieście,100.0,2.0,apartamentowiec,biuro nieruchomości,28000.0
Mokotów,37.0,2.0,apartamentowiec,biuro nieruchomości,4200.0
Śródmieście,72.0,2.0,kamienica,biuro nieruchomości,9375.0
Wilanów,105.0,4.0,apartamentowiec,biuro nieruchomości,9500.0
Praga-Północ,30.0,2.0,kamienica,prywatny,3034.0
Ochota,100.0,4.0,apartamentowiec,biuro nieruchomości,7500.0
Wola,45.0,2.0,apartamentowiec,biuro nieruchomości,5401.0
Śródmieście,95.0,3.0,apartamentowiec,biuro nieruchomości,15500.0
Wilanów,100.0,3.0,apartamentowiec,prywatny,8500.0
Ursus,64.0,3.0,blok,prywatny,4700.0
Włochy,56.0,3.0,apartamentowiec,biuro nieruchomości,4300.0
Ursus,34.0,1.0,blok,prywatny,2300.0
Śródmieście,125.0,3.0,apartamentowiec,biuro nieruchomości,34500.0
Wola,35.7,1.0,apartamentowiec,prywatny,2880.0
Wola,45.0,2.0,apartamentowiec,prywatny,5664.3099999999995
Białołęka,68.0,3.0,apartamentowiec,prywatny,4600.0
Wilanów,42.0,2.0,blok,prywatny,3800.0
Włochy,22.3,1.0,blok,biuro nieruchomości,2640.0
Bielany,52.0,2.0,apartamentowiec,prywatny,4330.0
Bielany,34.0,1.0,apartamentowiec,prywatny,3000.0
Śródmieście,96.0,3.0,apartamentowiec,biuro nieruchomości,8000.0
Mokotów,46.0,2.0,apartamentowiec,biuro nieruchomości,4300.0
Ursynów,51.0,2.0,blok,biuro nieruchomości,3800.0
Praga-Południe,31.0,1.0,apartamentowiec,biuro nieruchomości,3150.0
Bielany,65.0,2.0,blok,biuro nieruchomości,3500.0
Mokotów,49.5,2.0,blok,biuro nieruchomości,2800.0
Śródmieście,37.0,2.0,kamienica,biuro nieruchomości,4500.0
Białołęka,108.0,4.0,dom wolnostojący,biuro nieruchomości,5600.0
Mokotów,60.17,2.0,apartamentowiec,biuro nieruchomości,4500.0
Białołęka,70.6,3.0,blok,biuro nieruchomości,2650.0
Wola,80.0,3.0,apartamentowiec,biuro nieruchomości,5200.0
Śródmieście,53.0,2.0,apartamentowiec,prywatny,5992.4
Targówek,61.8,3.0,blok,biuro nieruchomości,4300.0
Wola,75.97,3.0,blok,biuro nieruchomości,5950.0
Śródmieście,75.0,3.0,kamienica,biuro nieruchomości,7080.0
Śródmieście,87.0,3.0,kamienica,biuro nieruchomości,6500.0
Mokotów,30.5,2.0,blok,biuro nieruchomości,3200.0
Wilanów,63.0,2.0,apartamentowiec,biuro nieruchomości,5700.0
Białołęka,51.2,2.0,blok,biuro nieruchomości,2900.0
Białołęka,78.0,3.0,apartamentowiec,prywatny,5700.0
Włochy,22.5,1.0,blok,biuro nieruchomości,2640.0
Targówek,38.0,2.0,blok,biuro nieruchomości,3350.0
Włochy,44.0,2.0,blok,biuro nieruchomości,4050.0
Wola,42.0,2.0,apartamentowiec,prywatny,4500.0
Mokotów,50.0,2.0,blok,biuro nieruchomości,4530.0
Wola,70.0,3.0,apartamentowiec,prywatny,9000.0
Włochy,43.0,2.0,blok,biuro nieruchomości,3800.0
Wola,62.0,3.0,blok,prywatny,9900.0
Śródmieście,40.0,2.0,blok,biuro nieruchomości,3500.0
Śródmieście,90.0,4.0,apartamentowiec,biuro nieruchomości,10000.0
Mokotów,83.23,3.0,apartamentowiec,biuro nieruchomości,7000.0
Żoliborz,55.0,2.0,kamienica,biuro nieruchomości,6250.0
Wola,72.0,3.0,blok,biuro nieruchomości,6200.0
Śródmieście,57.0,2.0,kamienica,biuro nieruchomości,5700.0
Śródmieście,68.2,2.0,apartamentowiec,biuro nieruchomości,5500.0
Ochota,78.0,3.0,blok,biuro nieruchomości,6000.0
Śródmieście,27.0,2.0,blok,biuro nieruchomości,2950.0
Ochota,48.0,3.0,blok,biuro nieruchomości,3150.0
Ursynów,41.0,1.0,apartamentowiec,prywatny,2650.0
Ochota,65.7,4.0,blok,biuro nieruchomości,6466.0
Żoliborz,37.39,2.0,blok,biuro nieruchomości,3669.0
Żoliborz,84.53,4.0,apartamentowiec,biuro nieruchomości,6868.0
Praga-Południe,50.0,2.0,apartamentowiec,biuro nieruchomości,4250.0
Wola,45.0,2.0,apartamentowiec,biuro nieruchomości,5500.0
Śródmieście,38.8,2.0,blok,biuro nieruchomości,3550.0
Ursynów,37.0,2.0,blok,prywatny,3500.0
Bielany,65.0,3.0,blok,biuro nieruchomości,2500.0
Ursus,57.4,3.0,blok,prywatny,3900.0
Wilanów,106.0,3.0,apartamentowiec,prywatny,12500.0
Wola,75.0,3.0,apartamentowiec,prywatny,7025.0
Białołęka,40.0,2.0,apartamentowiec,prywatny,2750.0
Białołęka,46.0,2.0,blok,prywatny,3890.0
Białołęka,69.0,3.0,blok,prywatny,3600.0
Ursynów,33.0,2.0,blok,prywatny,3500.0
Wola,26.0,1.0,apartamentowiec,prywatny,2910.0
Ochota,35.9,1.0,blok,biuro nieruchomości,2700.0
Białołęka,34.08,2.0,blok,prywatny,3385.0
Ochota,43.0,2.0,blok,biuro nieruchomości,4200.0
Ochota,46.0,2.0,blok,biuro nieruchomości,3700.0
Bielany,20.0,1.0,blok,prywatny,2500.0
Ochota,29.0,1.0,blok,biuro nieruchomości,3052.0
Ochota,81.5,4.0,apartamentowiec,prywatny,8790.0
Wilanów,40.0,2.0,apartamentowiec,prywatny,3300.0
Wola,35.0,2.0,apartamentowiec,prywatny,4300.0
Włochy,45.0,2.0,apartamentowiec,prywatny,4050.0
Ursus,70.6,3.0,blok,prywatny,5200.0
Białołęka,53.0,2.0,blok,prywatny,2500.0
Bielany,42.0,2.0,apartamentowiec,prywatny,3400.0
Rembertów,49.0,2.0,blok,prywatny,3100.0
Praga-Północ,33.0,2.0,apartamentowiec,prywatny,4501.0
Mokotów,52.0,2.0,apartamentowiec,prywatny,5000.0
Ochota,39.0,2.0,apartamentowiec,biuro nieruchomości,3500.0
Bemowo,30.0,1.0,blok,prywatny,2750.0
Mokotów,33.0,1.0,kamienica,biuro nieruchomości,3600.0
Ursus,32.0,1.0,blok,prywatny,3050.0
Żoliborz,33.16,1.0,blok,prywatny,3350.0
Mokotów,150.0,6.0,apartamentowiec,biuro nieruchomości,15006.0
Praga-Północ,25.0,1.0,apartamentowiec,prywatny,3100.0
Mokotów,32.0,2.0,apartamentowiec,prywatny,4000.0
Bemowo,36.0,2.0,blok,biuro nieruchomości,3750.0
Żoliborz,38.0,2.0,blok,prywatny,3400.0
Śródmieście,55.0,3.0,kamienica,biuro nieruchomości,7700.0
